Order No,Part No,Brand,Box Type,Start Date,Lot Size,Country,Wrap Type,CPU,Picks,Frames,Hours,Boxes,Time for Job,Qty/Hr,Picks/Hr,Picks/Qty,Backlog,PB,Shipment,Check,Shift,Steriliser Loc.,Suggested Line,Maximum People per Line,Helper Cell,Efficiency,Actual Hrs (Planned),STD Hours,Sequence,Components,Line based on Components,Line Based on Picks and CPU,Job Nature,,
9721928,590180,BVI,-,2026-01-30,32,UK,D113/D256,8,22,3,1.3810134752,4,0.1726266844,23.171388675527385,15.930329714425078,0.6875,-,-,,,,DB - UK,C2,8,,,,,,15,C1,C2,,,
9720971,590185,BVI,-,2026-01-23,200,Italy,D113/D256,10,15,2,7.034246260000001,20,0.8792807825000001,28.43232844111431,2.1324246330835734,0.075,x,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9722051,588680,BVI,-,2026-01-30,12,France,D113/D256,4,21,3,0.6819391152000001,3,0.08524238940000001,17.596878859897373,30.794538004820403,1.75,-,-,,,,RT/DB,Offline,3,,,,,,16,Offline,Offline,,,
9721862,590199,BVI,-,2026-01-30,100,France,D113/D256,5,18,3,3.9152596999999996,20,0.48940746249999995,25.541089905223913,4.5973961829403045,0.18,-,-,,,,RT/DB,C1,8,,,,,,17,C1,C1,,,
9721136,590203,BVI,-,2026-01-27,280,Austria,D113/D256,4,22,3,12.432801696,70,1.554100212,22.521070217832257,1.7695126599725346,0.07857142857142857,-,-,,,,RT/DB,C2,8,,,,,,18,C1,C2,,,
9722232,590208,BVI,-,2026-02-06,110,France,D113/D256,10,20,3,6.125188223,11,0.765648527875,17.95863179958315,3.2652057817423907,0.18181818181818182,-,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9720981,590225,BVI,-,2026-01-22,1056,Japan,D120,24,10,2,27.8946314592,44,3.4868289324,37.85674679174576,0.35849192037638034,0.00946969696969697,x,-,,,,DB - UK,C3/4,4,,,,,,8,C3/4,C1,,,
9722091,590234,BVI,-,2026-02-03,96,Austria,D113/D256,4,28,4,5.8341029856,24,0.7292628732,16.454971781772038,4.799366769683511,0.2916666666666667,-,-,,,,RT/DB,C2,8,,,,,,22,C2,C2,,,
9720983,590235,BVI,-,2026-01-23,50,UK,D142,10,26,4,2.16773073,5,0.27096634125,23.065595421069663,11.994109618956225,0.52,x,-,,,,DB - UK,C2,8,,,,,,21,C2,C2,,,
9720990,590237,BVI,-,2026-01-23,172,Spain,D113/D256,4,20,3,7.162476804000001,43,0.8953096005000001,24.01403937586839,2.7923301599846964,0.11627906976744186,x,-,,,,RT/DB,C2,8,,,,,,14,C1,C1,,,
9722037,588792,BVI,-,2026-01-30,25,France,D113/D256,5,20,3,0.7196354075,5,0.0899544259375,34.739813716017025,27.79185097281362,0.8,-,-,,,,RT/DB,Offline,3,,,,,,17,Offline,Offline,,,
